CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
01416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;Diesel S10;3,659;17/09/2018 08:59
01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Gasolina;4,89;14/08/2018 20:10
01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Diesel S500;3,23;14/08/2018 20:10
01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Diesel S10;3,45;14/08/2018 20:10
01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Gasolina;4,646;11/07/2018 10:01
01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Etanol;3,456;11/07/2018 10:01
01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Diesel S500;3,346;11/07/2018 10:01
01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Diesel S10;3,406;11/07/2018 10:01
01935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;Gasolina;4,439;04/07/2018 15:28
01935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;Etanol;3,499;04/07/2018 15:28
01935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;Diesel S500;3,369;04/07/2018 15:28
01935272000146;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;Diesel S10;3,389;04/07/2018 15:28
02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;JD NOVA EUROPA;CAMPINAS;SP;Gasolina;4,499;11/09/2018 11:21
02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;JD NOVA EUROPA;CAMPINAS;SP;Etanol;2,799;11/09/2018 11:21
02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;JD NOVA EUROPA;CAMPINAS;SP;Diesel S500;3,699;11/09/2018 11:21
02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;JD NOVA EUROPA;CAMPINAS;SP;Diesel S10;3,799;11/09/2018 11:21
